name,rank,hq_level,power,notes
KittyKitty,R5,28,50100000,
Aunty Anne,R4,26,48200000,
Beccss,R4,26,30000000,
Clay,R4,29,54600000,
CoffeeBlack05,R4,26,44400000,
Doc Who,R4,29,60000000,
DonQuixoteRosinante1,R4,25,31900000,
Dreamstealer,R4,28,60500000,
HollyAtYaGirl,R4,26,30900000,
SoftaKingBrokenToe,R4,29,60900000,
AmanduhBananuh,R3,24,23800000,
Aquaryice,R3,25,46800000,
ArmorOG,R3,26,34800000,
Bulletproof64,R3,26,39500000,
Buraktr,R3,24,39700000,
CLEM18,R3,25,39400000,
Chupacabro32,R3,24,25100000,
Cleo333,R3,24,30500000,
DJTonnyBR,R3,26,40300000,
Diablo 1234,R3,24,32799999,
Dominatricks,R3,24,52700000,
DottieHinson,R3,26,44900000,
Evan M J,R3,22,30600000,
FiyahDude,R3,24,47900000,
Foxchase,R3,26,45100000,
FuityB,R3,26,49800000,
Giggles,R3,28,62600000,
Grennlynn13,R3,22,45800000,
Huckleberry,R3,25,57300000,
JBana,R3,24,29200000,
Jhon Valadao,R3,25,36300000,
Kami S,R3,26,38700000,
Kinetik09,R3,26,38700000,
KittyyXx,R3,25,22600000,
Kraken Dungeon,R3,29,60600000,
Lnad,R3,23,34500000,
ManOfTheWest1996,R3,25,25100000,
MotleyChu,R3,24,37100000,
OverW8Ninja,R3,24,33299999,
Peake21056,R3,26,27200000,
PowerPollyDHeart88,R3,24,23100000,
Ree the Destroyed,R3,24,27500000,
Riverwild,R3,23,32000000,
RogueParadox,R3,27,66400000,
SettlerGasm,R3,25,35800000,
Shackled Moon,R3,26,48500000,
Sir ReportedSized,R3,26,25700000,
SurvivHer,R3,25,42200000,
Sykosz,R3,25,28200000,
Technoratch,R3,25,23800000,
Trip Z,R3,25,33500000,
Ultimate Warrior 2,R3,25,42100000,
Upgrade305,R3,25,27300000,
VinicLipson,R3,22,22000000,
WhiskeyNeatD,R3,27,59100000,
Young Joe Biden,R3,25,42800000,
imbored101,R3,26,28000000,
nosunrise,R3,25,24600000,
thatavl,R3,25,34900000,
zAnm,R3,26,41100000,
1AppleADay,R2,26,40500000,
1CrazyWolf,R2,24,37800000,
Alpha1213,R2,25,44800000,
BN2412,R2,23,36900000,
Biggity,R2,24,29300000,
BrainsOut,R2,24,38500000,
Brody,R2,25,52800000,
BumbleQuat,R2,23,33900000,
Cherrycoke1986,R2,24,33299999,
Derpyllama5300,R2,25,44500000,
Elias Sanchez,R2,24,26800000,
Gallosqui,R2,24,25200000,
Himothy334,R2,23,35300000,
Jinjaburu,R2,23,28900000,
LalaReal,R2,24,33800000,
MaryMudFart,R2,23,35400000,
Oakbrook,R2,23,24700000,
Ralas21,R2,26,37100000,
RodNotWelcomeAtHive,R2,24,34000000,
Rodrigo RC,R2,24,42200000,
Rook302,R2,23,29400000,
SVAJ,R2,23,25800000,
SoraiaC,R2,21,30700000,
Stephham919,R2,25,50800000,
Tonisccp2,R2,24,22600000,
TurtleReed,R2,23,33000000,
WVGuy,R2,24,26400000,
Zaine Arthur,R2,24,26700000,
ashesandbones,R2,24,34400000,
kuniccccc,R2,22,36200000,
sticky s0ckz,R2,18,12100000,
Aya Menezes,R1,12,1200000,
Cocopop808,R1,22,16700000,
D1NGLE,R1,23,27000000,
Dance of Dead,R1,23,34900000,
FABN,R1,23,31300000,
Mini Queen Daddy,R1,12,1500000,
NakedPanda,R1,21,6600000,
Rubid01,R1,25,44800000,
